"filename", "language", "C++", "JSON", "CSV", "Markdown", "comment", "blank", "total"
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-28_02-18-48/details.md", "Markdown", 0, 0, 0, 1434, 0, 6, 1440
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-28_02-18-48/diff-details.md", "Markdown", 0, 0, 0, 136, 0, 6, 142
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-28_02-18-48/diff.csv", "CSV", 0, 0, 129, 0, 0, 0, 129
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-28_02-18-48/diff.md", "Markdown", 0, 0, 0, 53, 0, 7, 60
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-28_02-18-48/results.csv", "CSV", 0, 0, 1427, 0, 0, 0, 1427
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-28_02-18-48/results.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-28_02-18-48/results.md", "Markdown", 0, 0, 0, 268, 0, 7, 275
"/home/everlasting/acm_training/CF/Round 1012/A.cpp", "C++", 24, 0, 0, 0, 0, 2, 26
"/home/everlasting/acm_training/CF/Round 1012/B.cpp", "C++", 44, 0, 0, 0, 1, 5, 50
"/home/everlasting/acm_training/CF/Round 1012/C.cpp", "C++", 17, 0, 0, 0, 0, 3, 20
"/home/everlasting/acm_training/CF/Round 1012/D.cpp", "C++", 17, 0, 0, 0, 0, 3, 20
"/home/everlasting/acm_training/CF/Round 1015/A.cpp", "C++", 26, 0, 0, 0, 0, 2, 28
"/home/everlasting/acm_training/CF/Round 1015/B.cpp", "C++", 30, 0, 0, 0, 0, 4, 34
"/home/everlasting/acm_training/CF/Round 1015/C.cpp", "C++", 84, 0, 0, 0, 10, 12, 106
"/home/everlasting/acm_training/CF/Round 1015/D.cpp", "C++", 17, 0, 0, 0, 0, 3, 20
"/home/everlasting/acm_training/CF/Round 1037/D.cpp", "C++", 30, 0, 0, 0, 0, 4, 34
"/home/everlasting/acm_training/CF/Round 1037/E.cpp", "C++", 48, 0, 0, 0, 0, 8, 56
"/home/everlasting/acm_training/CF/Round 1039/B.cpp", "C++", 20, 0, 0, 0, 0, -1, 19
"/home/everlasting/acm_training/CF/Round 1049/C.cpp", "C++", -29, 0, 0, 0, 0, -3, -32
"/home/everlasting/acm_training/CF/Round 1070/D.cpp", "C++", 11, 0, 0, 0, 0, 1, 12
"/home/everlasting/acm_training/CF/Round 1077/A.cpp", "C++", 38, 0, 0, 0, 0, 3, 41
"/home/everlasting/acm_training/CF/Round 1077/B.cpp", "C++", 41, 0, 0, 0, 3, 7, 51
"/home/everlasting/acm_training/CF/Round 1077/C.cpp", "C++", 40, 0, 0, 0, 0, 7, 47
"/home/everlasting/acm_training/CF/Round 1077/D.cpp", "C++", 69, 0, 0, 0, 0, 5, 74
"/home/everlasting/acm_training/atcoder/ABC 416/B.cpp", "C++", 31, 0, 0, 0, 1, 2, 34
"/home/everlasting/acm_training/atcoder/ABC 443/A.cpp", "C++", 18, 0, 0, 0, 1, 2, 21
"/home/everlasting/acm_training/atcoder/ABC 443/B.cpp", "C++", 25, 0, 0, 0, 1, 2, 28
"/home/everlasting/acm_training/atcoder/ABC 443/C.cpp", "C++", 39, 0, 0, 0, 1, 7, 47
"/home/everlasting/acm_training/atcoder/ABC 443/D.cpp", "C++", 34, 0, 0, 0, 0, 8, 42
"/home/everlasting/acm_training/atcoder/ABC 443/E.cpp", "C++", 61, 0, 0, 0, 1, 7, 69
"/home/everlasting/acm_training/atcoder/ABC 443/F.cpp", "C++", 17, 0, 0, 0, 0, 3, 20
"/home/everlasting/acm_training/atcoder/Educational DP Contest/I.cpp", "C++", 33, 0, 0, 0, 1, 4, 38
"/home/everlasting/acm_training/niuke/小白月赛/128/A.cpp", "C++", 28, 0, 0, 0, 0, 3, 31
"/home/everlasting/acm_training/niuke/小白月赛/128/B.cpp", "C++", 63, 0, 0, 0, 0, 7, 70
"/home/everlasting/acm_training/niuke/小白月赛/128/C.cpp", "C++", 31, 0, 0, 0, 0, 2, 33
